trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-01-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,289.95,296.7,282.95,289.3,1256623,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-01-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,293.0,300.0,290.65,298.25,1474466,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-01-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,301.5,304.8,298.0,302.05,1484949,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-01-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,300.6,303.9,291.2,300.25,3386665,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-01-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,300.0,304.8,293.85,295.45,2665346,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-01-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,296.9,298.05,292.1,296.7,1140870,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,301.0,305.8,294.1,304.05,2542521,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,305.1,311.0,302.1,305.2,2012188,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,301.0,304.4,291.6,299.2,2075622,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,301.65,307.5,293.65,298.05,1231929,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,296.0,305.0,296.0,303.8,877813,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,302.25,310.7,300.4,304.35,1016866,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,302.95,302.95,291.5,293.75,1313942,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,288.9,292.25,282.0,286.35,1032455,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,285.0,285.8,265.0,269.95,1878790,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,271.0,276.6,259.1,273.35,1691861,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,278.45,293.0,276.05,291.85,1610739,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,293.0,293.6,280.45,281.9,652246,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,281.0,283.8,272.0,282.1,1091856,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,283.5,289.0,275.25,280.55,1323939,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-19,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,278.85,283.5,277.1,281.15,966711,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,283.2,285.1,280.0,281.3,927653,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,280.7,282.35,276.6,279.4,725489,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-24,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,277.0,279.5,273.45,275.05,632801,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,275.05,275.15,269.1,270.85,947738,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,273.15,275.7,269.6,273.95,682927,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-02-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,273.95,274.9,267.15,272.2,949575,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,272.2,287.4,270.15,285.4,1541077,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,287.05,289.1,281.85,283.45,819366,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,284.0,284.65,275.0,277.25,3360859,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,277.5,283.0,277.4,280.9,1049803,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,281.7,287.5,278.8,285.15,1418658,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,285.0,287.2,281.6,285.45,1057117,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,286.2,286.2,281.05,283.45,520634,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,284.0,292.45,281.7,290.8,1575647,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-14,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,295.0,296.7,292.1,294.6,1046575,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,294.95,296.0,291.25,294.0,568008,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,293.95,296.35,286.5,289.9,540347,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,292.8,295.0,290.95,292.55,473012,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,293.1,294.1,287.2,292.2,623172,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,292.75,301.5,291.95,299.55,1056670,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,301.6,309.0,300.0,303.9,1716382,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,304.0,306.9,299.05,304.05,1399534,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,304.0,305.8,299.5,304.1,736828,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,303.0,306.8,300.8,302.1,949406,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-30,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,304.0,314.25,302.7,312.65,1679211,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-03-31,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,315.4,324.6,312.7,321.35,3164859,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,319.0,319.45,312.4,313.25,1430926,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,313.7,320.0,312.45,318.15,2151591,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,316.4,318.85,313.75,315.5,500757,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-06,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,318.0,331.45,315.3,327.45,1621911,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-07,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,330.95,332.4,319.0,321.5,1542439,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,320.55,333.9,318.0,332.65,2534869,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,334.0,349.4,333.5,346.95,3022860,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,347.0,347.55,337.05,339.0,1523973,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-13,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,341.5,343.8,336.5,338.0,988957,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,338.15,344.2,331.3,342.4,1036988,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-20,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,347.9,352.9,342.4,350.95,2070565,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,352.0,354.0,340.0,341.75,1455382,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,341.45,341.45,333.7,338.15,1246643,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,340.0,345.0,338.1,342.75,1036383,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,343.7,348.4,342.55,346.1,1172271,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,345.4,347.0,342.3,344.2,646469,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,345.0,346.6,333.05,337.25,2546537,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-04-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,337.6,339.35,330.45,332.2,822989,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,332.1,337.5,328.3,334.45,1091143,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,335.1,339.8,327.25,329.1,1062736,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,328.0,335.0,327.0,333.1,1969937,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,335.0,337.85,331.65,336.45,782642,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-06,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,335.95,344.9,333.65,341.1,1182589,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,343.2,345.8,339.05,340.2,2073787,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,340.25,347.5,333.05,345.65,1726735,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,340.0,349.0,335.75,340.15,5915820,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,343.7,344.75,338.3,342.25,1508259,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-13,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,346.0,366.25,345.9,359.8,8304709,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.7,363.4,356.75,357.6,2953151,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.5,372.2,358.75,366.0,2634702,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,365.8,367.7,358.65,364.1,1572800,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-19,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,365.0,365.0,352.35,356.5,1666347,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-20,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,359.9,368.8,356.25,365.5,2941080,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,369.75,369.75,361.4,366.3,2038549,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-24,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,368.35,368.8,361.6,366.9,2273857,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,368.4,376.8,367.5,373.35,1524684,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,374.8,378.4,372.85,376.85,2802034,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,375.0,377.7,372.0,374.9,1317173,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-30,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,374.5,377.8,370.35,372.45,1750460,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-05-31,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,373.0,378.05,355.95,364.5,22941574,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,358.5,363.4,353.25,356.65,1855916,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,358.0,365.0,352.8,363.75,1735560,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,365.0,366.75,359.55,361.25,1218055,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-06,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,357.15,361.4,357.15,360.0,742545,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-07,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.1,361.5,356.4,360.15,1222530,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.45,365.0,357.8,362.7,1168726,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,363.9,363.9,354.15,357.3,714771,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,356.5,359.9,351.2,354.4,698157,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-13,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,351.2,361.2,347.55,358.75,989007,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-14,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.2,365.0,357.4,359.7,1056161,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,361.45,363.0,356.0,360.15,953839,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.95,362.6,357.5,360.0,1268132,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.55,362.65,355.25,360.25,2281420,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-20,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,359.0,367.5,357.05,364.35,1436685,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,365.9,369.15,365.0,368.0,1101673,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,367.1,370.0,362.0,366.45,515691,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,364.5,369.4,361.25,367.1,394690,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-24,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.0,363.0,348.5,359.5,1419379,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,358.05,363.3,355.25,359.6,696659,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,361.6,362.0,356.05,357.6,476319,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,359.0,360.2,356.45,357.15,671963,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-06-30,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,359.0,361.4,354.6,359.9,1451729,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,358.0,374.1,357.95,366.8,1234937,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,368.0,370.5,365.35,367.4,456514,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,367.8,371.7,363.2,368.65,780963,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-07,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,369.0,370.15,355.2,356.4,1184684,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,358.0,359.4,351.6,357.4,555838,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.1,361.7,355.8,357.6,738199,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,357.7,359.3,354.3,356.9,698097,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-13,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,357.7,363.0,356.4,359.9,1397233,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-14,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,359.9,361.8,356.45,358.9,880307,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,363.4,364.2,357.25,359.65,1097041,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.5,362.6,355.2,357.7,659661,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-19,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,357.7,360.8,354.65,359.6,661303,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-20,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,360.8,368.4,360.0,366.25,2477492,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,367.5,373.0,362.6,365.05,4619396,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,367.5,379.0,366.75,375.9,6476301,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,386.5,387.0,372.7,381.3,3932524,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,383.5,384.7,368.2,371.05,1437392,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,373.0,379.5,371.2,376.65,1880602,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,377.0,385.0,376.65,380.5,2253028,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-07-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,381.1,391.75,380.55,389.65,1815859,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,391.5,407.6,390.6,404.1,2037024,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,406.0,407.95,394.2,399.9,2052533,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,400.0,400.7,385.65,389.95,1246630,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,394.95,409.4,393.05,405.25,1951382,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,408.85,411.0,404.15,406.5,1024135,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,406.0,411.0,402.15,404.05,760819,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,406.9,421.7,405.6,414.3,2930151,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,414.55,415.9,403.0,404.7,819212,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,404.9,406.05,396.6,399.8,987917,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,401.0,409.45,395.8,398.6,954738,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,399.2,411.2,396.25,410.05,1472054,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,413.4,416.7,407.45,415.5,1490193,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,415.5,417.8,408.5,409.65,713737,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-19,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,411.5,417.0,407.5,415.25,758848,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,416.95,421.0,411.8,415.75,1102828,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,418.55,418.55,408.5,411.2,850550,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-24,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,411.95,415.0,410.0,411.1,1026268,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,412.0,420.0,410.4,415.7,2117785,FYERS_HISTORY,2026-08-08T23:15:18+05:30
2016-08-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,416.5,417.95,410.5,414.65,405096,FYERS_HISTORY,2026-08-08T23:15:18+05:30
